City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,amahai,-3.3333,128.9167,79.36,86,59,3.47,ID,1635354647
246,ahipara,-35.1667,173.1667,58.77,85,100,5.37,NZ,1635354621
247,kosonsoy,41.2561,71.5508,48.76,36,100,3.06,UZ,1635354648
248,longyearbyen,78.2186,15.6401,21.04,68,0,2.3,SJ,1635354648
249,noumea,-22.2763,166.4572,75.99,99,64,6.91,NC,1635354648
250,yichun,47.7,128.9,28.72,95,36,3.53,CN,1635354648
251,petropavlovsk-kamchatskiy,53.0452,158.6483,34.92,78,100,5.35,RU,1635354649
252,kalmunai,7.4167,81.8167,78.96,81,100,4.36,LK,1635354649
253,winneba,5.3511,-0.6231,80.6,77,33,9.24,GH,1635354649
254,tabuk,17.4189,121.4443,70.47,90,39,3.91,PH,1635354650
255,shingu,33.7333,135.9833,56.48,80,2,6.49,JP,1635354650
256,uitenhage,-33.7576,25.3971,67.41,71,100,18.77,ZA,1635354650
257,ancud,-41.8697,-73.8203,63.43,70,61,8.37,CL,1635354650
258,broken hill,-31.95,141.4333,76.15,24,79,16.62,AU,1635354603
259,road town,18.4167,-64.6167,86.09,66,20,10.36,VG,1635354651
260,bambous virieux,-20.3428,57.7575,74.21,78,20,5.75,MU,1635354651
261,omboue,-1.5746,9.2618,77.31,84,100,9.93,GA,1635354590
262,savelugu,9.6244,-0.8253,92.62,39,100,4.34,GH,1635354651
263,san patricio,28.017,-97.5169,87.03,18,46,25.66,US,1635354528
264,arlit,18.7369,7.3853,92.12,10,1,6.49,NE,1635354652
265,kralendijk,12.15,-68.2667,85.98,70,40,20.71,BQ,1635354652
266,buena vista,43.4203,-83.8986,51.98,92,90,5.75,US,1635354652
267,axim,4.8699,-2.2405,81.19,74,50,9.44,GH,1635354652
268,banjar,-8.19,114.9675,80.46,88,100,3.18,ID,1635354653
269,tromso,69.6496,18.957,37.42,52,40,10.36,NO,1635354653
270,alta floresta,-9.8756,-56.0861,85.96,65,98,1.99,BR,1635354653
271,kasane,-17.8167,25.15,87.03,26,71,6.49,BW,1635354654
272,mookane,-23.688,26.6595,76.5,45,94,17.43,BW,1635354654
273,warrington,53.3925,-2.5802,63.86,76,75,7,GB,1635354654
274,kodiak,57.79,-152.4072,35.11,48,1,3.44,US,1635354534
275,leshukonskoye,64.8989,45.7622,34.7,100,100,5.06,RU,1635354654
276,palu,-0.8917,119.8707,76.19,92,88,2.91,ID,1635354655
277,san jose,37.3394,-121.895,65.79,78,20,0,US,1635354655
278,ust-tsilma,65.441,52.1498,25.45,96,100,8.1,RU,1635354655
279,yar-sale,66.8333,70.8333,13.19,90,84,8.55,RU,1635354520
280,sao filipe,14.8961,-24.4956,79.36,75,63,9.08,CV,1635354655
281,kahului,20.8947,-156.47,76.84,84,20,0,US,1635354656
282,kyra,49.5776,111.9753,33.93,64,7,3.13,RU,1635354515
283,carutapera,-1.195,-46.02,87.3,58,54,10.87,BR,1635354656
284,utevka,52.9035,50.9495,40.26,50,100,16.31,RU,1635354656
285,lagoa,39.05,-27.9833,67.37,70,100,21.56,PT,1635354524
286,weligama,5.9667,80.4167,77.05,88,88,7.76,LK,1635354643
287,inhambane,-23.865,35.3833,72.16,78,43,12.88,MZ,1635354657
288,luoyang,34.6836,112.4536,56.17,55,44,1.74,CN,1635354657
289,oranjemund,-28.55,16.4333,64.99,69,95,1.01,NA,1635354657
290,guerrero negro,27.9769,-114.0611,72.93,46,0,1.81,MX,1635354512
291,koppies,-27.2418,27.5742,64.11,73,100,11.25,ZA,1635354657
292,tiradentes,-21.1103,-44.1781,74.44,69,96,9.51,BR,1635354658
293,borogontsy,62.6683,131.1683,13.26,98,92,3.69,RU,1635354658
294,mahebourg,-20.4081,57.7,74.25,78,20,5.75,MU,1635354517
295,honiara,-9.4333,159.95,77.72,89,71,5.39,SB,1635354658
296,nizhnyaya poyma,56.1622,97.1933,28.54,56,37,7.81,RU,1635354659
297,lorengau,-2.0226,147.2712,81.46,76,62,3.44,PG,1635354659
298,praia da vitoria,38.7333,-27.0667,69.76,77,100,11.83,PT,1635354659
299,bathsheba,13.2167,-59.5167,84.81,70,20,13.8,BB,1635354616
300,rawson,-43.3002,-65.1023,79.9,27,43,8.57,AR,1635354659
301,soyo,-6.1349,12.3689,76.96,81,94,7.38,AO,1635354623
302,hemsedal,60.8629,8.5534,34.52,91,18,5.23,NO,1635354660
303,astoria,46.1879,-123.8313,54.91,90,90,1.01,US,1635354660
304,fallon,39.4735,-118.7774,58.91,62,75,5.75,US,1635354661
305,waingapu,-9.6567,120.2641,81.93,77,100,4.59,ID,1635354525
306,cayenne,4.9333,-52.3333,89.64,79,40,4,GF,1635354661
307,faya,18.3851,42.4509,61.32,58,74,2.17,SA,1635354466
308,walvis bay,-22.9575,14.5053,62.1,71,35,20.31,NA,1635354661
309,virginia beach,36.8529,-75.978,69.19,68,63,5.01,US,1635354442
310,tautira,-17.7333,-149.15,80.62,78,53,9.98,PF,1635354662
311,oriximina,-1.7656,-55.8661,91.08,50,99,6.06,BR,1635354519
312,hede,33.7681,120.2517,56.73,55,100,3.53,CN,1635354663
313,amberley,39.2048,-84.428,55.53,69,20,1.99,US,1635354663
314,tezu,27.9167,96.1667,67.77,56,1,4.47,IN,1635354663
